unit,lev_limit,age,sex,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-24,T,EA18,,6.8,5.3,5.8,6.4,7.2,7.9,8.4,8.7,8.4,7.7,7.5
PC,NONE,Y16-24,T,EA19,,6.8,5.3,5.9,6.4,7.3,8.0,8.5,8.8,8.5,7.8,7.6
PC,NONE,Y16-24,T,EE,0.9,2.5,2.8,4.5,3.2,3.9,3.7,6.8,8.8,10.2,11.1,9.4
PC,NONE,Y16-24,T,EL,,22.4,19.8,21.2,27.1,31.9,30.7,31.6,28.1,27.5,20.3,16.9
PC,NONE,Y16-24,T,ES,9.0,9.2,6.3,6.3,6.6,8.6,8.0,8.4,7.5,7.4,6.5,6.7
PC,NONE,Y16-24,T,EU,,,5.9 e,6.5,7.4,8.5,9.4,10.5,11.6,11.5,10.2,10.2
PC,NONE,Y16-24,T,EU27_2007,,,6.0 e,6.5,7.4,8.5,9.4,10.5,11.5,11.4,10.2,10.1
PC,NONE,Y16-24,T,EU27_2020,,7.2,5.8 e,6.5 e,7.7 e,8.8 e,9.5 e,10.4 e,11.5 e,11.4 e,10.6 e,10.7 e
PC,NONE,Y16-24,T,EU28,,,5.9 e,6.5,7.4,8.5,9.4,10.5,11.6,11.5,10.2,10.2
PC,NONE,Y16-24,T,FI,2.3,4.8,2.4,2.7,1.9,2.3,3.0,4.4,3.7,3.7,3.5,4.1
PC,NONE,Y16-24,T,FR,,6.2 b,5.4,5.2,5.5,5.3,6.4,6.5,7.1,6.9,6.5,7.7
PC,NONE,Y16-24,T,HR,5.1,4.6,5.4,7.1,9.2,12.5,13.9,15.2,17.3,16.7,16.9,15.2
PC,NONE,Y16-24,T,HU,,7.8,9.7,11.0,17.2,19.8,23.0,28.1,33.6,29.8,27.9,25.8
PC,NONE,Y16-24,T,IE,3.3,4.6 b,7.2,8.4,6.6,8.7,11.6,12.7,10.8,12.2,9.6,6.3
PC,NONE,Y16-24,T,IS,,,,0.0,1.0,1.5,0.0,0.2,1.3,0.7,2.7,0.8
PC,NONE,Y16-24,T,IT,6.2 p,7.4,7.0,8.8,10.5,11.8,13.5,13.2,14.9,15.7,12.1,8.8
PC,NONE,Y16-24,T,LT,,8.3,8.6,14.3,12.8,13.5,14.9,12.5,14.7,20.7,18.8,19.4
PC,NONE,Y16-24,T,LU,,2.2 b,2.2,1.9,1.3,1.6,3.3,1.6,1.3,1.6,2.2,0.6
PC,NONE,Y16-24,T,LV,5.4,8.1,7.3,9.6,11.8,13.6,16.9,19.0,23.1,27.0,34.5,27.5
PC,NONE,Y16-24,T,ME,,15.5,13.6,14.8,13.0,18.4,17.6,14.7,10.2,,,
PC,NONE,Y16-24,T,MK,,30.1,31.7,32.2,33.2,29.9,30.3,38.5,41.3,42.7,39.4,
PC,NONE,Y16-24,T,MT,,2.0,4.2,3.3,3.5,4.0,11.9,13.0,13.3,11.1,7.7,8.4
PC,NONE,Y16-24,T,NL,,1.1,1.5,1.6,2.4,1.3,1.9,2.2,2.4,1.8,2.2,4.2
PC,NONE,Y16-24,T,NO,,1.2,3.0,2.1,2.8,1.8,1.7,1.6,3.2,2.3,1.7,3.0
PC,NONE,Y16-24,T,PL,,3.2,3.0,4.2,6.3,7.3,8.2,10.6,13.3,14.1,13.0,14.6
PC,NONE,Y16-24,T,PT,,5.3,6.4,7.0,8.3,10.1,10.3,12.1,13.0,9.2,9.5,9.5
PC,NONE,Y16-24,T,RO,15.6,17.8,15.7,17.0,20.9,27.4,25.2,29.2,31.1,33.1,31.9,31.1
