unit,barrier,age,sex,time\geo,i,v
THS,PTP_LD2-3,Y15-44,T,2012,BG,32.4 u
THS,PTP_LD2-3,Y15-44,T,2012,CZ,46.4 u
THS,PTP_LD2-3,Y15-44,T,2012,DK,89.2
THS,PTP_LD2-3,Y15-44,T,2012,DE,974.5
THS,PTP_LD2-3,Y15-44,T,2012,EE,8.8 u
THS,PTP_LD2-3,Y15-44,T,2012,EL,42.0 u
THS,PTP_LD2-3,Y15-44,T,2012,ES,419.7
THS,PTP_LD2-3,Y15-44,T,2012,FR,442.2
THS,PTP_LD2-3,Y15-44,T,2012,IT,184.9 u
THS,PTP_LD2-3,Y15-44,T,2012,LV,17.8
THS,PTP_LD2-3,Y15-44,T,2012,LT,21.7
THS,PTP_LD2-3,Y15-44,T,2012,LU,6.8 u
THS,PTP_LD2-3,Y15-44,T,2012,HU,81.6
THS,PTP_LD2-3,Y15-44,T,2012,NL,278.0
THS,PTP_LD2-3,Y15-44,T,2012,AT,40.8 u
THS,PTP_LD2-3,Y15-44,T,2012,PL,254.5
THS,PTP_LD2-3,Y15-44,T,2012,PT,26.4 u
THS,PTP_LD2-3,Y15-44,T,2012,SI,13.6 u
THS,PTP_LD2-3,Y15-44,T,2012,SK,34.8 u
THS,PTP_LD2-3,Y15-44,T,2012,FI,58.8 u
THS,PTP_LD2-3,Y15-44,T,2012,SE,89.9
THS,PTP_LD2-3,Y15-44,T,2012,EEA,4171.3 e
THS,PTP_LD2-3,Y15-44,T,2012,IS,4.3 u
THS,PTP_LD2-3,Y15-44,T,2012,NO,112.0
THS,PTP_LD2-3,Y15-44,T,2012,UK,730.9
THS,PTP_LD2-3,Y45-64,F,2012,EU27_2007,4052.6 e
THS,PTP_LD2-3,Y45-64,F,2012,BE,106.8
THS,PTP_LD2-3,Y45-64,F,2012,BG,64.1
THS,PTP_LD2-3,Y45-64,F,2012,CZ,52.2
THS,PTP_LD2-3,Y45-64,F,2012,DK,60.0
THS,PTP_LD2-3,Y45-64,F,2012,DE,944.1
THS,PTP_LD2-3,Y45-64,F,2012,EE,16.0
THS,PTP_LD2-3,Y45-64,F,2012,EL,83.1
THS,PTP_LD2-3,Y45-64,F,2012,ES,374.9
THS,PTP_LD2-3,Y45-64,F,2012,FR,491.0
THS,PTP_LD2-3,Y45-64,F,2012,IT,223.8
THS,PTP_LD2-3,Y45-64,F,2012,CY,7.8 u
THS,PTP_LD2-3,Y45-64,F,2012,LV,25.6
THS,PTP_LD2-3,Y45-64,F,2012,LT,32.2
THS,PTP_LD2-3,Y45-64,F,2012,LU,5.0
