unit,lev_limit,lev_satis,age,sex,geo\time,i,v,flag
PC_POP,NONE,GOOD,Y16-24,T,UK,2012,47.8,
PC_POP,NONE,GOOD,Y16-24,T,UK,2007,42.3,
PC_POP,NONE,GOOD,Y16-29,F,AT,2012,39.8,
PC_POP,NONE,GOOD,Y16-29,F,AT,2007,46.5,
PC_POP,NONE,GOOD,Y16-29,F,BE,2012,52.7,
PC_POP,NONE,GOOD,Y16-29,F,BE,2007,48.5,
PC_POP,NONE,GOOD,Y16-29,F,BG,2012,69.1,
PC_POP,NONE,GOOD,Y16-29,F,BG,2007,54.9,
PC_POP,NONE,GOOD,Y16-29,F,CH,2012,42.5,
PC_POP,NONE,GOOD,Y16-29,F,CH,2007,38.1,
PC_POP,NONE,GOOD,Y16-29,F,CY,2012,63.0,
PC_POP,NONE,GOOD,Y16-29,F,CY,2007,61.5,
PC_POP,NONE,GOOD,Y16-29,F,CZ,2012,65.0,u
PC_POP,NONE,GOOD,Y16-29,F,CZ,2007,71.5,
PC_POP,NONE,GOOD,Y16-29,F,DE,2012,56.5,
PC_POP,NONE,GOOD,Y16-29,F,DE,2007,40.1,
PC_POP,NONE,GOOD,Y16-29,F,DK,2012,41.8,
PC_POP,NONE,GOOD,Y16-29,F,DK,2007,34.8,
PC_POP,NONE,GOOD,Y16-29,F,EE,2012,63.2,
PC_POP,NONE,GOOD,Y16-29,F,EE,2007,53.6,
PC_POP,NONE,GOOD,Y16-29,F,EL,2012,66.2,
PC_POP,NONE,GOOD,Y16-29,F,EL,2007,67.8,
PC_POP,NONE,GOOD,Y16-29,F,ES,2012,63.1,
PC_POP,NONE,GOOD,Y16-29,F,ES,2007,64.7,
PC_POP,NONE,GOOD,Y16-29,F,EU27_2007,2012,56.8,
PC_POP,NONE,GOOD,Y16-29,F,EU27_2007,2007,52.9,
PC_POP,NONE,GOOD,Y16-29,F,EU28,2012,56.9,
PC_POP,NONE,GOOD,Y16-29,F,FI,2012,52.9,
PC_POP,NONE,GOOD,Y16-29,F,FI,2007,51.3,
PC_POP,NONE,GOOD,Y16-29,F,FR,2012,40.9,
PC_POP,NONE,GOOD,Y16-29,F,FR,2007,56.7,
PC_POP,NONE,GOOD,Y16-29,F,HR,2012,72.4,
PC_POP,NONE,GOOD,Y16-29,F,HU,2012,67.7,
PC_POP,NONE,GOOD,Y16-29,F,HU,2007,48.9,
PC_POP,NONE,GOOD,Y16-29,F,IE,2012,48.0,
PC_POP,NONE,GOOD,Y16-29,F,IE,2007,43.3,
PC_POP,NONE,GOOD,Y16-29,F,IS,2012,41.3,
PC_POP,NONE,GOOD,Y16-29,F,IS,2007,34.3,
PC_POP,NONE,GOOD,Y16-29,F,IT,2012,70.6,
PC_POP,NONE,GOOD,Y16-29,F,IT,2007,66.6,
PC_POP,NONE,GOOD,Y16-29,F,LT,2012,70.8,
PC_POP,NONE,GOOD,Y16-29,F,LT,2007,52.7,
PC_POP,NONE,GOOD,Y16-29,F,LU,2012,37.9,
PC_POP,NONE,GOOD,Y16-29,F,LU,2007,45.9,
PC_POP,NONE,GOOD,Y16-29,F,LV,2012,68.2,
PC_POP,NONE,GOOD,Y16-29,F,LV,2007,64.5,
PC_POP,NONE,GOOD,Y16-29,F,MT,2012,56.1,
PC_POP,NONE,GOOD,Y16-29,F,MT,2007,66.0,
PC_POP,NONE,GOOD,Y16-29,F,NL,2012,39.9,
PC_POP,NONE,GOOD,Y16-29,F,NL,2007,35.0,
PC_POP,NONE,GOOD,Y16-29,F,NO,2012,49.9,
PC_POP,NONE,GOOD,Y16-29,F,NO,2007,50.3,
PC_POP,NONE,GOOD,Y16-29,F,PL,2012,63.0,
PC_POP,NONE,GOOD,Y16-29,F,PL,2007,70.1,
PC_POP,NONE,GOOD,Y16-29,F,PT,2012,69.0,
PC_POP,NONE,GOOD,Y16-29,F,PT,2007,60.8,
PC_POP,NONE,GOOD,Y16-29,F,RO,2012,79.7,
PC_POP,NONE,GOOD,Y16-29,F,RO,2007,17.6,
PC_POP,NONE,GOOD,Y16-29,F,SE,2012,35.5,
PC_POP,NONE,GOOD,Y16-29,F,SE,2007,43.5,
PC_POP,NONE,GOOD,Y16-29,F,SI,2012,59.0,
PC_POP,NONE,GOOD,Y16-29,F,SI,2007,56.3,
PC_POP,NONE,GOOD,Y16-29,F,SK,2012,73.2,
PC_POP,NONE,GOOD,Y16-29,F,SK,2007,60.2,
PC_POP,NONE,GOOD,Y16-29,F,TR,2007,49.0,
PC_POP,NONE,GOOD,Y16-29,F,UK,2012,45.3,
PC_POP,NONE,GOOD,Y16-29,F,UK,2007,44.4,
PC_POP,NONE,GOOD,Y16-29,M,AT,2012,42.0,
PC_POP,NONE,GOOD,Y16-29,M,AT,2007,49.3,
PC_POP,NONE,GOOD,Y16-29,M,BE,2012,50.7,
PC_POP,NONE,GOOD,Y16-29,M,BE,2007,51.8,
PC_POP,NONE,GOOD,Y16-29,M,BG,2012,71.3,
PC_POP,NONE,GOOD,Y16-29,M,BG,2007,52.9,
PC_POP,NONE,GOOD,Y16-29,M,CH,2012,44.8,
PC_POP,NONE,GOOD,Y16-29,M,CH,2007,35.9,
PC_POP,NONE,GOOD,Y16-29,M,CY,2012,67.1,
PC_POP,NONE,GOOD,Y16-29,M,CY,2007,62.9,
PC_POP,NONE,GOOD,Y16-29,M,CZ,2012,69.1,u
PC_POP,NONE,GOOD,Y16-29,M,CZ,2007,69.6,
PC_POP,NONE,GOOD,Y16-29,M,DE,2012,53.0,
PC_POP,NONE,GOOD,Y16-29,M,DE,2007,38.4,
PC_POP,NONE,GOOD,Y16-29,M,DK,2012,33.3,
PC_POP,NONE,GOOD,Y16-29,M,DK,2007,33.2,
PC_POP,NONE,GOOD,Y16-29,M,EE,2012,64.4,
PC_POP,NONE,GOOD,Y16-29,M,EE,2007,56.1,
PC_POP,NONE,GOOD,Y16-29,M,EL,2012,67.7,
PC_POP,NONE,GOOD,Y16-29,M,EL,2007,69.1,
PC_POP,NONE,GOOD,Y16-29,M,ES,2012,60.9,
PC_POP,NONE,GOOD,Y16-29,M,ES,2007,67.2,
PC_POP,NONE,GOOD,Y16-29,M,EU27_2007,2012,57.0,
PC_POP,NONE,GOOD,Y16-29,M,EU27_2007,2007,52.5,
