unit,incgrp,lev_limit,tenure,geo\time,i,v,flag
PC,A_MD60,NONE,OWN,EA19,2019,70.5,
PC,A_MD60,NONE,OWN,EA19,2018,70.8,
PC,A_MD60,NONE,OWN,EA19,2017,70.6,
PC,A_MD60,NONE,OWN,EA19,2016,71.0,
PC,A_MD60,NONE,OWN,EA19,2015,70.8,
PC,A_MD60,NONE,OWN,EA19,2014,72.3,
PC,A_MD60,NONE,OWN,EA19,2013,72.0,
PC,A_MD60,NONE,OWN,EA19,2012,72.1,
PC,A_MD60,NONE,OWN,EA19,2011,71.5,
PC,A_MD60,NONE,OWN,EA19,2010,71.5,
PC,A_MD60,NONE,OWN,EA19,2009,75.4,e
PC,A_MD60,NONE,OWN,EA19,2008,75.5,e
PC,A_MD60,NONE,OWN,EA19,2007,74.7,e
PC,A_MD60,NONE,OWN,EA19,2005,69.1,e
PC,A_MD60,NONE,OWN,EE,2021,83.6,
PC,A_MD60,NONE,OWN,EE,2020,83.9,
PC,A_MD60,NONE,OWN,EE,2019,83.8,
PC,A_MD60,NONE,OWN,EE,2018,83.9,
PC,A_MD60,NONE,OWN,EE,2017,84.2,
PC,A_MD60,NONE,OWN,EE,2016,85.2,
PC,A_MD60,NONE,OWN,EE,2015,84.7,
PC,A_MD60,NONE,OWN,EE,2014,84.9,
PC,A_MD60,NONE,OWN,EE,2013,83.4,
PC,A_MD60,NONE,OWN,EE,2012,83.7,
PC,A_MD60,NONE,OWN,EE,2011,85.6,
PC,A_MD60,NONE,OWN,EE,2010,87.3,
PC,A_MD60,NONE,OWN,EE,2009,89.0,
PC,A_MD60,NONE,OWN,EE,2008,90.4,
PC,A_MD60,NONE,OWN,EE,2007,89.0,
PC,A_MD60,NONE,OWN,EE,2006,89.8,
PC,A_MD60,NONE,OWN,EL,2020,74.7,
PC,A_MD60,NONE,OWN,EL,2019,76.4,
PC,A_MD60,NONE,OWN,EL,2018,73.9,
PC,A_MD60,NONE,OWN,EL,2017,73.9,
PC,A_MD60,NONE,OWN,EL,2016,74.7,
PC,A_MD60,NONE,OWN,EL,2015,75.6,
PC,A_MD60,NONE,OWN,EL,2014,74.8,
PC,A_MD60,NONE,OWN,EL,2013,77.3,
PC,A_MD60,NONE,OWN,EL,2012,77.2,
PC,A_MD60,NONE,OWN,EL,2011,76.9,
PC,A_MD60,NONE,OWN,EL,2010,78.4,
PC,A_MD60,NONE,OWN,EL,2009,77.4,
PC,A_MD60,NONE,OWN,EL,2008,77.5,
PC,A_MD60,NONE,OWN,EL,2007,76.6,
PC,A_MD60,NONE,OWN,ES,2021,81.3,
PC,A_MD60,NONE,OWN,ES,2020,80.6,
PC,A_MD60,NONE,OWN,ES,2019,80.9,
PC,A_MD60,NONE,OWN,ES,2018,81.3,
PC,A_MD60,NONE,OWN,ES,2017,82.4,
PC,A_MD60,NONE,OWN,ES,2016,82.4,
PC,A_MD60,NONE,OWN,ES,2015,82.3,
PC,A_MD60,NONE,OWN,ES,2014,83.9,
PC,A_MD60,NONE,OWN,ES,2013,82.1,
PC,A_MD60,NONE,OWN,ES,2012,83.3,
PC,A_MD60,NONE,OWN,ES,2011,82.9,
PC,A_MD60,NONE,OWN,ES,2010,83.1,
PC,A_MD60,NONE,OWN,ES,2009,83.0,
PC,A_MD60,NONE,OWN,ES,2008,84.6,
PC,A_MD60,NONE,OWN,ES,2007,83.6,
PC,A_MD60,NONE,OWN,EU,2019,73.5,e
PC,A_MD60,NONE,OWN,EU,2018,73.7,
PC,A_MD60,NONE,OWN,EU,2017,73.5,
PC,A_MD60,NONE,OWN,EU,2016,73.6,
PC,A_MD60,NONE,OWN,EU,2015,73.7,
PC,A_MD60,NONE,OWN,EU,2014,74.8,
PC,A_MD60,NONE,OWN,EU,2013,74.8,
PC,A_MD60,NONE,OWN,EU,2012,75.2,
PC,A_MD60,NONE,OWN,EU,2011,74.7,
PC,A_MD60,NONE,OWN,EU,2010,75.0,
PC,A_MD60,NONE,OWN,EU,2009,76.9,
PC,A_MD60,NONE,OWN,EU,2008,76.7,
