unit,hlth_pb,age,sex,time\geo,i,v,flag
PC,PB1040,Y55-64,F,2011,TR,19.7,
PC,PB1040,Y55-64,M,2011,EU28,40.6,
PC,PB1040,Y55-64,M,2011,BE,30.2,
PC,PB1040,Y55-64,M,2011,BG,32.2,
PC,PB1040,Y55-64,M,2011,CZ,38.5,
PC,PB1040,Y55-64,M,2011,DK,36.7,
PC,PB1040,Y55-64,M,2011,DE,46.2,
PC,PB1040,Y55-64,M,2011,EE,49.4,
PC,PB1040,Y55-64,M,2011,IE,28.3,
PC,PB1040,Y55-64,M,2011,EL,42.1,
PC,PB1040,Y55-64,M,2011,ES,47.4,
PC,PB1040,Y55-64,M,2011,FR,39.6,
PC,PB1040,Y55-64,M,2011,HR,37.7,
PC,PB1040,Y55-64,M,2011,IT,38.6,
PC,PB1040,Y55-64,M,2011,CY,48.1,
PC,PB1040,Y55-64,M,2011,LV,45.6,
PC,PB1040,Y55-64,M,2011,LT,38.1,
PC,PB1040,Y55-64,M,2011,LU,37.1,
PC,PB1040,Y55-64,M,2011,HU,17.9,
PC,PB1040,Y55-64,M,2011,NL,41.3,
PC,PB1040,Y55-64,M,2011,AT,42.0,
PC,PB1040,Y55-64,M,2011,PL,30.5,
PC,PB1040,Y55-64,M,2011,PT,52.9,
PC,PB1040,Y55-64,M,2011,RO,30.7,
PC,PB1040,Y55-64,M,2011,SI,33.3,
PC,PB1040,Y55-64,M,2011,SK,27.1,
PC,PB1040,Y55-64,M,2011,FI,49.2,
PC,PB1040,Y55-64,M,2011,SE,74.1,
PC,PB1040,Y55-64,M,2011,IS,79.6,
PC,PB1040,Y55-64,M,2011,CH,63.7,
PC,PB1040,Y55-64,M,2011,UK,47.0,
PC,PB1040,Y55-64,M,2011,TR,44.3,
PC,PB1040,Y55-64,T,2011,EU28,35.3,
PC,PB1040,Y55-64,T,2011,BE,26.2,
PC,PB1040,Y55-64,T,2011,BG,26.5,
PC,PB1040,Y55-64,T,2011,CZ,30.9,
PC,PB1040,Y55-64,T,2011,DK,35.8,
PC,PB1040,Y55-64,T,2011,DE,42.4,
PC,PB1040,Y55-64,T,2011,EE,47.4,
PC,PB1040,Y55-64,T,2011,IE,25.8,
PC,PB1040,Y55-64,T,2011,EL,29.4,
PC,PB1040,Y55-64,T,2011,ES,37.6,
PC,PB1040,Y55-64,T,2011,FR,37.7,
PC,PB1040,Y55-64,T,2011,HR,27.6,
PC,PB1040,Y55-64,T,2011,IT,28.6,
PC,PB1040,Y55-64,T,2011,CY,38.2,
PC,PB1040,Y55-64,T,2011,LV,46.7,
PC,PB1040,Y55-64,T,2011,LT,38.6,
PC,PB1040,Y55-64,T,2011,LU,33.9,
PC,PB1040,Y55-64,T,2011,HU,17.8,
PC,PB1040,Y55-64,T,2011,MT,17.9,u
PC,PB1040,Y55-64,T,2011,NL,32.9,
PC,PB1040,Y55-64,T,2011,AT,35.9,
PC,PB1040,Y55-64,T,2011,PL,24.0,
