regione,Minori (0-17 anni),Anziani (65 anni e più),Persone con disabilità,Ospiti con problemi di salute mentale,Altra utenza,Non indicato,g1UP091FC09OG2000000
Basilicata,327.8,1202.3,122.4,9.7,70,0,g1UT091FI09OG2000000
Calabria,193.3,650.8,50.5,25.4,111.5,2,g1UT091FI09OG2000000
Sicilia,321.2,1011.4,60.1,38.6,127.9,0,g1UT091FI09OG2000000
Sardegna,187,1106.8,90.5,43,136.9,0,g1UT091FI09OG2000000
Piemonte,1082,43332,3444,305,2055,648,g1UU091FC09OG2000000
Valle d'Aosta / Vallée d'Aoste,27,1050,33,152,104,0,g1UU091FC09OG2000000
Liguria,622,11709,1624,1394,2140,0,g1UU091FC09OG2000000
Lombardia,2272,61139,5741,2763,6912,0,g1UU091FC09OG2000000
Trentino Alto Adige / Südtirol,422,9048,820,862,1658,0,g1UU091FC09OG2000000
Veneto,868,33117,3060,601,2466,0,g1UU091FC09OG2000000
Friuli-Venezia Giulia,154,9737,825,778,412,0,g1UU091FC09OG2000000
Emilia-Romagna,2939,30688,2867,1083,2622,0,g1UU091FC09OG2000000
Toscana,1100,17863,1787,1287,1992,0,g1UU091FC09OG2000000
Umbria,207,2837,488,190,916,0,g1UU091FC09OG2000000
Marche,971,8119,684,741,1156,0,g1UU091FC09OG2000000
Lazio,2056,14979,3016,2339,2588,0,g1UU091FC09OG2000000
Abruzzo,136,3739,596,284,601,0,g1UU091FC09OG2000000
Molise,42,1416,124,107,107,0,g1UU091FC09OG2000000
Campania,608,6908,1909,100,1615,0,g1UU091FC09OG2000000
Puglia,1193,10132,1261,1155,2168,0,g1UU091FC09OG2000000
Basilicata,215,1844,875,20,301,0,g1UU091FC09OG2000000
Calabria,551,3869,707,554,1722,0,g1UU091FC09OG2000000
Sicilia,3135,13984,1766,2262,5550,0,g1UU091FC09OG2000000
Sardegna,430,5864,1022,1070,794,0,g1UU091FC09OG2000000
Piemonte,158.1,4002.8,103,6.9,46.4,14.6,g1UU091FI09OG2000000
Valle d'Aosta / Vallée d'Aoste,127.1,3641,33.2,118.5,81.1,0,g1UU091FI09OG2000000
Liguria,282.2,2641.2,142.5,88,135.2,0,g1UU091FI09OG2000000
Lombardia,134.4,2826.7,73.2,27.6,69.1,0,g1UU091FI09OG2000000
Trentino Alto Adige / Südtirol,212.9,4317,96.9,81.6,157,0,g1UU091FI09OG2000000
Veneto,104.9,3104,79.2,12.2,50,0,g1UU091FI09OG2000000
Friuli-Venezia Giulia,83.6,3161.3,89.7,63.4,33.5,0,g1UU091FI09OG2000000
Emilia-Romagna,412.2,2941.1,84.2,24.3,58.9,0,g1UU091FI09OG2000000
Toscana,191.3,1922.7,63.3,34.3,53.1,0,g1UU091FI09OG2000000
Umbria,149.4,1289.3,72.3,21.2,102.4,0,g1UU091FI09OG2000000
Marche,394,2205.4,57.8,47.7,74.6,0,g1UU091FI09OG2000000
Lazio,211.8,1229.3,64.5,39.7,43.9,0,g1UU091FI09OG2000000
